::1 - - [24/Oct/2022:19:09:00 +0700] "GET /crud_php_mvc/public/home/index HTTP/1.1" 200 68
127.0.0.1 - - [24/Oct/2022:19:09:05 +0700] "GET / HTTP/1.1" 200 5
127.0.0.1 - - [24/Oct/2022:19:09:06 +0700] "GET / HTTP/1.1" 200 5
127.0.0.1 - - [24/Oct/2022:19:09:16 +0700] "GET /home/test HTTP/1.1" 200 67
127.0.0.1 - - [24/Oct/2022:19:13:14 +0700] "GET /home/test HTTP/1.1" 200 67
127.0.0.1 - - [24/Oct/2022:19:13:15 +0700] "GET /home/test HTTP/1.1" 200 67
127.0.0.1 - - [24/Oct/2022:19:36:27 +0700] "GET /home/test HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:37:15 +0700] "GET /home/test HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:37:33 +0700] "GET /home/test HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:37:34 +0700] "GET /home/test HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:37:35 +0700] "GET /home/test HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:37:54 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:52 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:53 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:53 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:53 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:53 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:53 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:54 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:54 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:54 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:38:54 +0700] "GET / HTTP/1.1" 200 345
127.0.0.1 - - [24/Oct/2022:19:39:13 +0700] "GET /home/index HTTP/1.1" 200 187
127.0.0.1 - - [24/Oct/2022:19:40:42 +0700] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2022:19:40:49 +0700] "GET /home/index/ajlsdhfljsaf/fhfhsaf/kldfkja HTTP/1.1" 200 109
127.0.0.1 - - [24/Oct/2022:19:41:05 +0700] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2022:19:47:02 +0700] "GET / HTTP/1.1" 200 168
127.0.0.1 - - [24/Oct/2022:19:48:19 +0700] "GET / HTTP/1.1" 200 204
127.0.0.1 - - [24/Oct/2022:19:52:17 +0700] "GET / HTTP/1.1" 200 298
127.0.0.1 - - [24/Oct/2022:19:53:03 +0700] "GET / HTTP/1.1" 200 10
127.0.0.1 - - [24/Oct/2022:20:18:49 +0700] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2022:21:30:18 +0700] "GET / HTTP/1.1" 200 271
127.0.0.1 - - [24/Oct/2022:21:43:47 +0700] "GET / HTTP/1.1" 200 271
127.0.0.1 - - [24/Oct/2022:21:44:13 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 188
127.0.0.1 - - [24/Oct/2022:21:47:20 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 377
127.0.0.1 - - [24/Oct/2022:21:55:26 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 171
127.0.0.1 - - [24/Oct/2022:21:55:54 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 788
127.0.0.1 - - [24/Oct/2022:21:57:11 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 194
127.0.0.1 - - [24/Oct/2022:21:57:30 +0700] "GET /about/index/nahrul/78/programmer HTTP/1.1" 200 383
127.0.0.1 - - [24/Oct/2022:21:57:39 +0700] "GET / HTTP/1.1" 200 295
